term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
great,positive,482.7126641148268,472.15546320809494,0.5697328199118503,0.6717184329148093,0.6207256264133298
good,positive,476.8717472058555,463.88033915720933,0.562838942230971,0.6599457144083485,0.6113923283196597
day,positive,449.5800024464303,411.0264656709216,0.5306272273578699,0.5847524277936822,0.557689827575776
make,positive,425.7871469354788,413.95491268369994,0.5025451576883967,0.5889186230229654,0.545731890355681
one,positive,432.7830160133224,406.9188178585986,0.5108021944594597,0.5789086264052326,0.5448554104323462
world,positive,399.76940387155855,375.402990475621,0.47183711287102853,0.5340722031689793,0.5029546580200039
see,positive,396.0726791805842,377.30957371226276,0.4674739677969528,0.5367846299091825,0.5021292988530677
first,positive,352.9790759195505,333.183757454848,0.41661174285182295,0.474008433386695,0.445310088119259
uk,positive,356.78761650627877,308.48080118547296,0.42110686123079566,0.43886443449937435,0.429985647865085
pm,positive,341.9123579390345,303.3620267870314,0.40354999222679955,0.4315821400322018,0.41756606612950065
friend,positive,311.69990185198594,311.69990185198594,0.36789104005387185,0.4434441321278059,0.40566758609083886
every,positive,322.0913745956632,290.72290298182065,0.3801558168236067,0.413600917537884,0.3968783671807454
get,positive,314.4289079585029,292.5097402060543,0.37111201281926154,0.4161429859743707,0.3936274993968161
not,positive,304.32897118713447,293.60381344103047,0.35919132814396926,0.41769948423852055,0.3884454061912449
well,positive,306.26130808171206,289.2692596296001,0.3614720135906339,0.41153287192439875,0.38650244275751633
come,positive,300.5273566501914,291.0701176776817,0.3547043843959278,0.41409488727785926,0.3843996358368935
