Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date
Keir Starmer (UK PM),domain,1979202725146501253,https://x.com/grandvistaview/status/1979202725146501253,@helen_spirit1 @ShabanaMahmood @Keir_Starmer Both,1509798520986947625,,False,0,"Florida, USA",2,13,"October 17, 2025 at 03:07 PM"
Keir Starmer (UK PM),domain,1979201114261123238,https://x.com/BlueFroggolotl/status/1979201114261123238,@Keir_Starmer Mosques?,1430219944059228160,,False,0,,0,4,"October 17, 2025 at 03:01 PM"
Keir Starmer (UK PM),domain,1979200006050496780,https://x.com/northern_oik/status/1979200006050496780,@Keir_Starmer Resign,1218721433578287105,,False,0,Dagoba System,0,5,"October 17, 2025 at 02:57 PM"
Keir Starmer (UK PM),domain,1979199889809772786,https://x.com/shaneysonudon/status/1979199889809772786,@Keir_Starmer Cunt,1743300692725624832,,False,0,Unicorn country,0,2,"October 17, 2025 at 02:56 PM"
Keir Starmer (UK PM),domain,1979199777465041393,https://x.com/DorothyMal41697/status/1979199777465041393,@TRobinsonNewEra @Keir_Starmer 🤣🤣🤣,1754899791702568960,,False,0,Where are all the chidren?????,0,9,"October 17, 2025 at 02:56 PM"
Keir Starmer (UK PM),domain,1979198948817440822,https://x.com/JeffStump3/status/1979198948817440822,@helen_spirit1 @ShabanaMahmood @Keir_Starmer Both.,1078265268546228224,,False,0,"Huddersfield, England",2,6,"October 17, 2025 at 02:52 PM"
Keir Starmer (UK PM),domain,1979198648358453367,https://x.com/geraldi21118531/status/1979198648358453367,@Keir_Starmer 🤣🤣🤣,1510990983172968459,,False,0,,0,2,"October 17, 2025 at 02:51 PM"
Keir Starmer (UK PM),domain,1979197260777787428,https://x.com/KWE2025/status/1979197260777787428,@Keir_Starmer 🤡,1823104817201324032,,False,0,🇺🇸 ,0,4,"October 17, 2025 at 02:46 PM"
Keir Starmer (UK PM),domain,1979196159814963336,https://x.com/MMmmwa/status/1979196159814963336,@Keir_Starmer @YvetteCooperMP @EmilyThornberry @JohnHealey_MP @SadiqKhan @ukhomeoffice @metpoliceuk @FCDOGovUK @ShabanaMahmood ⬇️⬇️,45400210,,False,0,"London, England",0,4,"October 17, 2025 at 02:41 PM"
Keir Starmer (UK PM),domain,1979195656003567833,https://x.com/30flan09/status/1979195656003567833,@BGatesIsaPyscho @Keir_Starmer,163967727,,False,0,,0,4,"October 17, 2025 at 02:39 PM"
Keir Starmer (UK PM),domain,1979194797085614108,https://x.com/gcuneyt71/status/1979194797085614108,@Keir_Starmer 🖕🖕🖕,1711990075762872320,,False,0,,0,0,"October 17, 2025 at 02:36 PM"
Keir Starmer (UK PM),domain,1979194762402951502,https://x.com/MorgenVrijman/status/1979194762402951502,@Keir_Starmer Wanker,1424370570666385411,,False,0,,0,11,"October 17, 2025 at 02:36 PM"
Keir Starmer (UK PM),domain,1979194288924676229,https://x.com/marie_angele/status/1979194288924676229,Maccabi IS THAT 🔽 @Keir_Starmer !!,93891680,,False,0,,1,25,"October 17, 2025 at 02:34 PM"
Keir Starmer (UK PM),domain,1979194276157301002,https://x.com/MVaztec/status/1979194276157301002,@Keir_Starmer 😂,26592426,,False,0,USA,0,3,"October 17, 2025 at 02:34 PM"
Keir Starmer (UK PM),domain,1979193558067470418,https://x.com/DanKurt12975/status/1979193558067470418,@Keir_Starmer Liar,1821043909604339712,,False,0,,1,2,"October 17, 2025 at 02:31 PM"
Keir Starmer (UK PM),domain,1979193133960159559,https://x.com/TeambringitMike/status/1979193133960159559,@Keir_Starmer Resign.,354222514,,False,0,,1,17,"October 17, 2025 at 02:29 PM"
Keir Starmer (UK PM),domain,1979193133779779914,https://x.com/NissimBetesh/status/1979193133779779914,@Keir_Starmer,371579704,,False,0,,0,11,"October 17, 2025 at 02:29 PM"
Keir Starmer (UK PM),domain,1979192952653042033,https://x.com/TrollNScroll/status/1979192952653042033,@Keir_Starmer Mosques?,1512087804779454473,,False,0,No Checkmarkville,0,4,"October 17, 2025 at 02:29 PM"
Keir Starmer (UK PM),domain,1979192818603090116,https://x.com/1966Dear/status/1979192818603090116,@Keir_Starmer @ShabanaMahmood,2648634791,,False,0,"London, UK",0,7,"October 17, 2025 at 02:28 PM"
Keir Starmer (UK PM),domain,1979192699879125364,https://x.com/UKPatriot1961/status/1979192699879125364,@helen_spirit1 @ShabanaMahmood @Keir_Starmer Lying,1952084109242646528,,False,0,,2,9,"October 17, 2025 at 02:28 PM"
Keir Starmer (UK PM),domain,1979192526104871388,https://x.com/Kinshasho/status/1979192526104871388,@Keir_Starmer ?,1498748488045277185,,False,0,"Tarragona, Espanya",0,2,"October 17, 2025 at 02:27 PM"
Keir Starmer (UK PM),domain,1979192319967424599,https://x.com/1966Dear/status/1979192319967424599,@Keir_Starmer @ShabanaMahmood,2648634791,,False,0,"London, UK",0,3,"October 17, 2025 at 02:26 PM"
Keir Starmer (UK PM),domain,1979192027578306792,https://x.com/Johaaan91/status/1979192027578306792,@Keir_Starmer Wanker,883975987087716352,,False,0,,1,8,"October 17, 2025 at 02:25 PM"
Keir Starmer (UK PM),domain,1979191635004080546,https://x.com/pansypotter56/status/1979191635004080546,@RobertJenrick @Keir_Starmer,393922362,,False,0,"London, England",1,19,"October 17, 2025 at 02:23 PM"
Keir Starmer (UK PM),domain,1979191372469895287,https://x.com/1966Dear/status/1979191372469895287,@Keir_Starmer,2648634791,,False,0,"London, UK",0,3,"October 17, 2025 at 02:22 PM"
Keir Starmer (UK PM),domain,1979190864594223258,https://x.com/FootballFren09/status/1979190864594223258,@Keir_Starmer 🤡🤡🤡🤡,1069198780736696326,,False,0,,0,3,"October 17, 2025 at 02:20 PM"
Keir Starmer (UK PM),domain,1979189912080417160,https://x.com/1966Dear/status/1979189912080417160,@Keir_Starmer,2648634791,,False,0,"London, UK",0,1,"October 17, 2025 at 02:17 PM"
Keir Starmer (UK PM),domain,1979189499176362385,https://x.com/kezi2001/status/1979189499176362385,@Keir_Starmer Resign,2314078605,,False,0,"Thornaby on Tees, England",0,4,"October 17, 2025 at 02:15 PM"
Keir Starmer (UK PM),domain,1979189478498373982,https://x.com/DoraMoo28/status/1979189478498373982,@Keir_Starmer What about the rest of us?,3195482897,,False,0,London,0,3,"October 17, 2025 at 02:15 PM"
Keir Starmer (UK PM),domain,1979188773813358712,https://x.com/MichaelPut40204/status/1979188773813358712,@Keir_Starmer,1824509008268419072,,False,0,"Va,usa",0,0,"October 17, 2025 at 02:12 PM"
Keir Starmer (UK PM),domain,1979188654275805629,https://x.com/joe42net/status/1979188654275805629,@Keir_Starmer 🤡,1796581913496326146,,False,0,,0,2,"October 17, 2025 at 02:12 PM"
Keir Starmer (UK PM),domain,1979187014818730131,https://x.com/MichelleSayer17/status/1979187014818730131,@Keir_Starmer,798876595503108096,,False,0,,0,0,"October 17, 2025 at 02:05 PM"
Keir Starmer (UK PM),domain,1979186334385291478,https://x.com/Tiger_Bay62/status/1979186334385291478,@Keir_Starmer 👇,1262254938,,False,0,,0,2,"October 17, 2025 at 02:02 PM"
Keir Starmer (UK PM),domain,1979186136456081912,https://x.com/StuMunkee/status/1979186136456081912,@Keir_Starmer 🤡,239088016,,False,0,Bonoboville,0,1,"October 17, 2025 at 02:02 PM"
Keir Starmer (UK PM),domain,1979185251231400009,https://x.com/DamourDYOR/status/1979185251231400009,@Keir_Starmer Wanker,1969936207506452480,,False,0,,0,1,"October 17, 2025 at 01:58 PM"
Keir Starmer (UK PM),domain,1979184508579492349,https://x.com/richardjamesed1/status/1979184508579492349,@Keir_Starmer Resign,2948934233,,False,0,,1,5,"October 17, 2025 at 01:55 PM"
Keir Starmer (UK PM),domain,1979184233949053177,https://x.com/pursseyg/status/1979184233949053177,@Keir_Starmer Clown,1859767397160230912,,False,0,,1,4,"October 17, 2025 at 01:54 PM"
Keir Starmer (UK PM),domain,1979184082610438412,https://x.com/Bilbosbagz/status/1979184082610438412,@Keir_Starmer Resign,985567669578534912,,False,0,Nowhere.,2,8,"October 17, 2025 at 01:53 PM"
Keir Starmer (UK PM),domain,1979182787476267067,https://x.com/ThereseSimmo1/status/1979182787476267067,@Keir_Starmer,568057170,,False,0,,0,13,"October 17, 2025 at 01:48 PM"
Keir Starmer (UK PM),domain,1979182498895573259,https://x.com/thechatbotnot/status/1979182498895573259,@Keir_Starmer,1640654206661976064,,False,0,"London, England",0,0,"October 17, 2025 at 01:47 PM"
Keir Starmer (UK PM),domain,1979182472215547977,https://x.com/ThePastaManCan_/status/1979182472215547977,@Keir_Starmer Resign,1876210943983575040,,False,0,UK,1,12,"October 17, 2025 at 01:47 PM"
Keir Starmer (UK PM),domain,1979182237548449965,https://x.com/mrsjen2023/status/1979182237548449965,@TRobinsonNewEra @Keir_Starmer @AmichaiChikli @OzraeliAvi 😆,3558925157,,False,0,"Warrington, England",2,73,"October 17, 2025 at 01:46 PM"
