term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
not,neutral,2077.094352754755,1930.2297182445982,0.3503412837059438,0.34540093606551653,0.34787110988573017
team,neutral,2065.9714541234475,1836.4686488080038,0.34846519628610406,0.3286230568090747,0.33854412654758936
get,neutral,1867.144963603522,1698.304985592939,0.3149293447100236,0.3038996479040851,0.3094144963070543
sunday,neutral,1604.4217269157764,1567.352751000066,0.2706160972744927,0.28046667307175077,0.27554138517312177
player,neutral,1630.482822977788,1491.4045655395453,0.2750117944834519,0.2668762832323497,0.2709440388579008
go,neutral,1490.9949297416003,1346.0862624023578,0.2514845206679935,0.24087260219034193,0.24617856142916772
pick,neutral,1479.0629723335396,1328.2433014390892,0.2494719701693026,0.237679730709481,0.24357585043939178
make,neutral,1396.6783990885144,1311.138099543814,0.23557625228342552,0.23461887598821457,0.23509756413582006
football,neutral,1379.723306720052,1273.003233380058,0.23271645498156396,0.22779491180136469,0.23025568339146432
season,neutral,1324.7177746276086,1169.460446344423,0.22343873069396128,0.20926666346547992,0.2163526970797206
back,neutral,1267.877097830228,1128.8417756680738,0.21385147451106404,0.20199824005414266,0.20792485728260335
no,neutral,1207.588222710519,1132.1966410717284,0.2036826144038602,0.20259856945527216,0.20314059192956618
one,neutral,1194.2328636906448,1140.1017659193924,0.2014299802771673,0.20401313555395448,0.2027215579155609
qb,neutral,1186.3047320420733,1070.990099965083,0.20009275078854705,0.1916460924564236,0.19586942162248533
new,neutral,1164.0520290799639,1089.0248968520175,0.19633941117191722,0.19487329161703115,0.1956063513944742
yard,neutral,1308.0759465735473,948.710554315954,0.220631771349076,0.1697650338810302,0.1951984026150531
nfl,positive,2221.0390501593993,2103.7872373836326,0.9999999999999996,0.9999999999999996,0.9999999999999996
best,positive,1267.7294451085406,1191.987702945227,0.5707821503712678,0.5665913747188798,0.5686867625450738
game,positive,1179.8030391480074,1008.5386679153888,0.5311941899730827,0.4793919508560447,0.5052930704145637
get,positive,1002.2603613945909,931.3285404864504,0.4512574244575575,0.4426914109644915,0.44697441771102453
good,positive,981.4509103885542,916.5843166234864,0.4418881830637409,0.43568299129116916,0.438785587177455
great,positive,865.2434337944104,829.1193255028621,0.3895669613428514,0.3941079738338906,0.391837467588371
play,positive,900.9884750415339,779.5315902921434,0.4056607987044944,0.3705372750818684,0.38809903689318137
week,positive,895.161193107555,750.2016505233279,0.40303712491831734,0.3565957798357562,0.37981645237703676
love,positive,805.1466860931546,760.6398069446523,0.3625090184863569,0.3615573825281966,0.3620332005072767
win,positive,792.9160147888849,725.7054460425393,0.3570022844632014,0.34495191963663585,0.3509771020499186
one,positive,749.4907367355552,703.6271624651035,0.3374504994325811,0.3344573776101839,0.3359539385213825
team,positive,711.3747844252131,639.9309992216637,0.32028918373774606,0.3041804740756538,0.31223482890669996
go,positive,698.5775340297615,647.4382294706992,0.31452735330323245,0.30774891013973593,0.3111381317214842
season,positive,666.6566036165694,599.0920181273184,0.3001552825326167,0.2847683489478607,0.29246181574023866
back,positive,645.8338133646728,595.4330245282148,0.29078003528047935,0.2830291076718968,0.2869045714761881
last,positive,609.6872185408617,571.8587755284242,0.2745054025489131,0.2718234835570226,0.27316444305296783
make,positive,592.1178140584626,576.4486472132285,0.2665949587946089,0.27400520212781904,0.270300080461214
see,positive,581.1356070149299,562.3985076621425,0.26165033297060797,0.26732670379803575,0.26448851838432186
sunday,positive,577.3162313349658,547.1336374882121,0.259930698333977,0.2600708036277721,0.2600007509808745
football,positive,560.7021811635307,530.0833653191409,0.2524503930371193,0.25196624254569433,0.25220831779140684
