term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
day,positive,671.0009318383526,614.9239360801116,0.8859318223552332,0.8347956546332188,0.860363738494226
get,positive,642.8441191175416,615.0954226572221,0.8487559926032225,0.8350284578158568,0.8418922252095397
new,positive,604.057501532119,569.1878264785998,0.7975454842864814,0.7727061776833467,0.7851258309849141
make,positive,592.1296834610267,562.6434037589339,0.7817970209102932,0.763821736327419,0.7728093786188561
best,positive,532.9334172731858,522.3870737585246,0.7036393709101091,0.7091713846594617,0.7064053777847854
one,positive,505.7153463553529,494.8268437642238,0.6677029749603063,0.6717567405221793,0.6697298577412427
go,positive,508.81150495554897,482.28044686178515,0.6717908760358794,0.6547242638190851,0.6632575699274823
costco,positive,538.344636953214,443.53538926525147,0.7107838791884475,0.6021255539261491,0.6564547165572983
market,positive,508.9428561811984,457.24474575745984,0.6719643008780616,0.6207368171345181,0.6463505590062899
trade,positive,483.00602103358375,472.3301202357054,0.6377195382582846,0.641216106236892,0.6394678222475882
happy,positive,482.96246415894035,471.68834530880906,0.6376620295135155,0.6403448587723017,0.6390034441429087
see,positive,476.7430315325008,460.2457731770475,0.6294504264898635,0.6248108895560226,0.627130658022943
guide,positive,462.79603126050284,462.79603126050324,0.6110360088920996,0.6282730159123866,0.6196545124022431
deal,positive,480.1952990680183,442.03979236311653,0.6340085031241529,0.6000951925729321,0.6170518478485425
great,positive,443.9968758137587,428.52987838182287,0.58621522362427,0.5817546843826911,0.5839849540034805
buy,positive,441.9581474278507,425.57021441389014,0.5835234623039594,0.5777367652960564,0.5806301138000078
win,positive,446.833246432901,415.9429250966911,0.5899601230309028,0.5646671499886317,0.5773136365097673
